,,,,,,,
,inflation expectations over 1 year,Real gdp seasonally adjusted,Real gdp growth,index 2015=100,cpi excluding food and energy,rate in %,
dates,infl_exp,gdp,gdp_growth,cpi_index,cpi_nfe_perc,unem,Cash rate target%
2008-01-01,2.85,378522,,83.95635013,0.8185274854,4.2200952,7
2008-02-01,2.85,378886.6667,0.001926792454,84.3278384,1.022757446,3.9797271,7
2008-03-01,2.85,379251.3333,0.001924937976,84.69932668,1.226987406,4.0568334,7.25
2008-04-01,2.85,379616,0.003374191609,85.07081495,1.431217366,4.2651982,7.25
2008-05-01,2.983333333,380531,0.004820660878,85.38038851,1.282350206,4.2653451,7.25
2008-06-01,3.116666667,381446,0.004809069432,85.68996208,1.133483045,4.2433056,7.25
2008-07-01,3.25,382361,0.0008284265663,85.99953564,0.9846158845,4.2496689,7.25
2008-08-01,3.333333333,381762,-0.003133164732,85.99953564,0.7880392145,4.01557,7.25
2008-09-01,3.416666667,381163,-0.003138080794,85.99953564,0.5914625446,4.2885682,7
2008-10-01,3.5,380564,0.001498921284,85.99953564,0.3948858747,4.2898627,6
2008-11-01,3.55,381734.3333,0.006150520456,85.96857828,0.2968803759,4.4625861,5.25
2008-12-01,3.6,382904.6667,0.006131663993,85.93762093,0.198874877,4.5697305,4.25
2009-01-01,3.65,384075,0.005536626175,85.90666357,0.1008693782,4.9071716,3.75
2009-02-01,3.55,385024.6667,0.004945214693,86.06145035,0.2795088508,5.30415,3.25
2009-03-01,3.45,385974.3333,0.004933017279,86.21623713,0.4581483233,5.710786,3.25
2009-04-01,3.35,386924,0.003478642362,86.37102391,0.6367877959,5.512251,3
2009-05-01,3.15,387317,0.002031406685,86.58772541,0.7242324025,5.8107435,3
2009-06-01,2.95,387710,0.002029345472,86.8044269,0.811677009,5.8610713,3
2009-07-01,2.75,388103,0.003529270159,87.0211284,0.8991216156,5.6709456,3
2009-08-01,2.633333333,389078.3333,0.005026157146,87.26878725,0.7647454056,5.7151668,3
2009-09-01,2.516666667,390053.6667,0.005013557681,87.5164461,0.6303691956,5.6610687,3
2009-10-01,2.4,391029,0.003959284235,87.76410495,0.4959929856,5.6231605,3.25
2009-11-01,2.4,391598,0.002910270082,87.98080644,0.5225310743,5.5582082,3.5
2009-12-01,2.4,392167,0.0029060414,88.19750793,0.5490691631,5.4907878,3.75
2010-01-01,2.4,392736,0.003695704466,88.41420943,0.5756072518,5.2657685,3.75
2010-02-01,2.4,393616.3333,0.004483079388,88.59995356,0.6443945882,5.3010645,3.75
2010-03-01,2.4,394496.6667,0.004473052863,88.7856977,0.7131819246,5.4218572,4
2010-04-01,2.4,395377,0.00458390016,88.97144184,0.781969261,5.4972432,4.25
2010-05-01,2.483333333,396305,0.004694253839,89.15718598,0.8842172821,5.2281436,4.5
2010-06-01,2.566666667,397233,0.004683261629,89.34293011,0.9864653031,5.1438614,4.5
2010-07-01,2.65,398161,0.00527650019,89.52867425,1.088713324,5.2853183,4.5
2010-08-01,2.766666667,399329,0.00586697341,89.71441839,0.7021481551,5.0331426,4.5
