extracted_dates,Statements,Cash Rate
2008-12-02,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-27
Date
2 December 2008
At its meeting today, the Board decided to reduce the cash rate by a further 100 basis points, to 4.25 per cent, effective 3 December 2008.
Recent actions by governments and central banks to stabilise their respective financial systems have begun to take effect.  Nonetheless, financial market sentiment remains fragile, as evidence accumulates of weak economic conditions in the major countries and a significant slowing in many emerging countries.  Commodity prices have fallen further.  This, combined with the likelihood of below-trend growth in the global economy, suggests that global inflation will moderate significantly in 2009.
The Australian economy has been more resilient than other advanced economies, but recent data nonetheless indicate that a significant moderation in demand and activity has been occurring. With confidence affected by the financial turbulence and a decline in the terms of trade now under way, more cautious behaviour by both households and businesses is likely to see private demand remain subdued in the near term. With that outlook, and with capacity pressures now easing, it is likely that inflation in Australia will soon start to fall. Global disinflationary forces will assist in this regard, though the depreciation of the exchange rate means that the decline of inflation to the target could take longer than would otherwise have been the case.
Weighing up the international and domestic developments of recent months, the Board judged that a further significant reduction in the cash rate was warranted now, to take monetary policy to an expansionary setting.  As a result of today's decision, the cash rate will be at its previous cyclical low point.  Given trends in money market yields, most lending rates should fall significantly and will also reach below-average levels.
There has now been a major easing in monetary policy over the past few months.  Together with the spending measures announced by the Government, and a large fall in the Australian dollar exchange rate, significant policy stimulus will be supporting demand over the year ahead.  The Board will continue to monitor developments and make adjustments as needed to promote sustainable growth consistent with achieving the 2–3 per cent inflation target over time.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 2 Dec 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",4.25
2008-11-04,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-25
Date
4 November 2008
At its meeting today, the Board decided to reduce the cash rate by 75 basis points to 5.25 per cent, effective 5 November 2008.
World financial markets have remained turbulent over the past month. Global equity prices have been volatile and fell further in net terms, and there have been significant exchange rate movements, including a sharp depreciation of the Australian dollar.  A number of governments have announced measures to strengthen their financial systems, which should help to stabilise conditions over time.
International economic data have continued to point to significant weakness in the major industrial economies, and there have been further signs that China and other parts of the developing world are slowing as well. These conditions have contributed to further falls in world commodity prices.
In Australia, the overall path of economic activity appears until recently to have been close to what the Board had expected, with a needed moderation in demand occurring after a period of earlier strength. Recent reductions in borrowing rates, the depreciation of the exchange rate and the fiscal stimulus announced in October will work to assist growth in the period ahead, but deteriorating international conditions and falling commodity prices will have a dampening influence. On balance, it appears likely that spending and activity will be weaker than earlier expected.
Consumer price inflation in Australia remained high in the September quarter. As expected, CPI inflation in year‑ended terms picked up to 5 per cent, while underlying measures were just over 4½ per cent.  Nonetheless, capacity pressures are now easing and, given the outlook for more moderate growth in demand and activity, it is reasonable to expect that inflation in Australia will soon start to fall. Global disinflationary forces will assist in this regard, though the depreciation of the exchange rate means that the decline of inflation to the target could take longer than would otherwise be the case.
Weighing up these international and domestic developments, the Board judged that a further significant reduction in the cash rate was warranted. The Board will continue to monitor developments and make adjustments as needed to promote sustainable growth consistent with achieving the 2–3 per cent inflation target over time.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 4 Nov 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",5.25
2008-10-07,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-20
Date
7 October 2008
At its meeting today, the Board decided to lower the cash rate by 100 basis points to 6.0 per cent, effective 8 October 2008.
Conditions in international financial markets took a significant turn for the worse in September. Large-scale financial failures in several major countries were accompanied by serious dislocation in interbank markets and heightened instability in other markets, including sharp falls in share prices. Official actions in a number of countries have been aimed at restoring stability, by adding to short-term liquidity and laying a foundation for longer-term recovery in the health of balance sheets. Nonetheless, financing is likely to be difficult around the world for some time ahead. This is also affecting Australia, albeit by less than in many other countries, given the relative strength of the local banking system.
Economic activity in the major countries is also weakening, and evidence is accumulating of a significant moderation in growth in Australia's trading partners in Asia. The expansionary effects of the recent surge in Australia's terms of trade are still coming through, but some decline in the terms of trade now looks likely over the coming year, with many commodity prices having declined from their peaks. This, combined with the likelihood of below-trend growth in the global economy, suggests that global inflation will moderate in 2009.
Thus far, the overall path of economic activity in Australia appears to have been close to what the Board had expected, with the needed moderation in demand occurring. The next CPI is likely to show an increase of around 5 per cent over the four quarters to September, but the Bank remains of the view that inflation will start to decline in 2009.
The recent deterioration in prospects for global growth, together with much more difficult market conditions even for creditworthy borrowers, now present the risk that demand and output could be significantly weaker than earlier expected. Should that occur, inflation would most likely fall faster than earlier forecast.
Given that background, the Board judged that a material change to the balance of risks surrounding the outlook had occurred, requiring a significantly less restrictive stance of monetary policy. The Board also took careful note of movements in funding costs in wholesale markets. Having weighed these considerations, the Board decided that, on this occasion, an unusually large movement in the cash rate was appropriate in order to bring about a significant reduction in costs to borrowers. The Board does not, however, regard that movement as establishing a pattern for future decisions.
The Board will continue to assess prospects for demand and inflation over the period ahead, and set monetary policy as needed to bring inflation back to the 2–3 per cent target over time.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 7 Oct 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",6.0
2008-09-02,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-14
Date
2 September 2008
At its meeting today the Board decided to lower the cash rate by 25 basis points to 7.0 per cent, effective 3 September.
Inflation in Australia has been high over the past year in an environment of limited spare capacity and earlier strong growth in demand. In these circumstances, the Board has been seeking to restrain demand in order to reduce inflation over time.
As a result of increases in the cash rate last year and early this year, additional rises in market interest rates and tougher credit standards, financial conditions have been quite tight. Some further tightening has occurred over the past couple of months. Conditions in international financial markets remain difficult, with heightened concerns over credit persisting.
The evidence is that the tight financial conditions, in conjunction with other factors including higher fuel costs and lower asset values, have exerted the needed restraint on demand. Indicators of household spending have recorded subdued outcomes over recent months, and credit expansion to both households and businesses has slowed. Surveys suggest a softening in business activity and growth in production has slowed.  Indicators of capacity utilisation, while still high, are declining and there have also been some signs of an easing in labour market conditions.
The rise in Australia's terms of trade that has occurred is working in the opposite direction, adding substantially to national income and ability to spend. Fixed investment spending by businesses continues to be very strong. At the same time, high prices of oil and a range of other commodities have added to global inflationary risks. They are also dampening growth in a number of countries.
Given the opposing forces at work, considerable uncertainty has surrounded the outlook for demand and inflation. On balance, however, it is looking more likely that household demand will remain subdued and overall economic growth slow over the period ahead. Inflation is likely to remain relatively high in the short term, with the CPI affected by the high global oil prices in mid year and other increases in raw materials prices. But looking further ahead, the outlook for demand suggests that inflation in both CPI and underlying terms is likely to decline over time, provided wages growth remains contained. The Bank's forecast remains that inflation will fall below 3 per cent during 2010.
Weighing up the available domestic and international information, the Board judged that there was now scope for monetary policy to become less restrictive. The Board will continue to assess prospects for demand and inflation over the period ahead, and set monetary policy as needed to bring inflation back to the 2–3 per cent target over time.
Enquiries
Dr Anthony Richards
Head of Economic Analysis Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8801
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 2 Sep 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.0
2008-08-05,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-12
Date
5 August 2008
At its meeting today, the Board decided to leave the cash rate unchanged at 7.25 per cent.
Inflation in Australia has been high over the past year in an environment of limited spare capacity and earlier strong growth in demand. This was evident again in the most recent CPI data. In these circumstances, the Board has been seeking to restrain demand in order to reduce inflation over time.
As a result of increases in the cash rate last year and early this year, additional rises in market interest rates and tougher credit standards, there has been a substantial tightening in financial conditions since the middle of 2007. Some further tightening has occurred over the past couple of months. Conditions in international financial markets remain difficult, with heightened concerns over credit persisting.
The evidence is that the tightening in financial conditions, in conjunction with other factors including rising fuel costs, and lower asset values, has restrained demand. Indicators of household spending have continued to record subdued outcomes over recent months, and credit expansion to both households and businesses has slowed significantly. Surveys suggest a softening in business activity, and there have also been some early signs of an easing in labour market conditions.
The rise in Australia's terms of trade that is currently occurring is working in the opposite direction, adding substantially to national income and ability to spend. At the same time, high prices of oil and a range of other commodities have added to global inflationary risks. They are also dampening growth in a number of countries.
Given the opposing forces at work, considerable uncertainty has surrounded the outlook for demand and inflation. On balance, however, it is looking more likely that demand will remain subdued, and economic growth will be fairly slow, over the period ahead. Inflation is likely to remain relatively high in the short term, with the CPI affected by high global oil prices. Looking further ahead, inflation in both CPI and underlying terms is likely to decline over time, given the outlook for demand, provided wages growth remains moderate. The Bank's forecast remains that inflation will fall below 3 per cent during 2010.
Weighing up the available domestic and international information, the Board judged that the cash rate should remain unchanged this month. Nonetheless, with demand slowing, the Board's view is that scope to move towards a less restrictive stance of monetary policy in the period ahead is increasing.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 5 Aug 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
2008-07-01,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-10
Date
1 July 2008
At its meeting today, the Board decided to leave the cash rate unchanged at 7.25 per cent.
Inflation in Australia has been high over the past year in an environment of limited spare capacity and earlier strong growth in demand. In these circumstances, the Board has been seeking to restrain demand in order to reduce inflation over time.
As a result of earlier decisions by the Board, additional rises in market interest rates and tougher credit standards for some borrowers, there has been a substantial tightening in financial conditions since the middle of last year. Conditions in international financial markets remain difficult, with credit concerns resurfacing in the past month.
The evidence is that the tightening in financial conditions, in conjunction with other factors including rising fuel costs, is working to restrain demand. Indicators of household spending have recorded subdued outcomes over recent months, and credit expansion to both households and businesses has weakened significantly. There have also been some tentative signs of an easing in labour market conditions.
The rise in Australia's terms of trade that is currently occurring will work in the opposite direction. It will add substantially to national income and ability to spend, even with the slowing in global growth to below-trend pace that the Bank is assuming. At the same time, rising prices of oil and a range of other commodities are adding to global inflationary risks.
Given the opposing forces at work, considerable uncertainty remains about the outlook for demand and inflation. On balance, while the inflation outlook remains concerning, the Board's assessment continues to be that demand growth will be moderate this year. The most recent flow of information has given additional support to that assessment. Inflation is likely to remain relatively high in the short term, and the CPI will be further boosted in coming quarters by the recent rises in global oil prices. Looking further ahead, inflation in both CPI and underlying terms should decline over time, provided demand continues to evolve as expected.
Weighing up the available domestic and international information, the Board's judgement is that the current stance of monetary policy remains appropriate. The Board will continue to evaluate prospects for economic activity and inflation in the light of new information.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 1 Jul 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
2008-06-03,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-09
Date
3 June 2008
At its meeting today, the Board decided to leave the cash rate unchanged at 7.25 per cent. 
Inflation in Australia has been high over the past year in an environment of limited spare capacity and earlier strong growth in demand. In these circumstances, the Board has been seeking to restrain demand in order to reduce inflation over time.
As a result of earlier decisions by the Board, additional rises in market interest rates and tougher credit standards for some borrowers, there has been a substantial tightening in financial conditions since the middle of last year. Conditions in international financial markets, though gradually improving, also remain difficult.
The evidence is that this is helping to produce a moderation in demand. While labour market conditions to date have remained strong, indicators of household spending have recorded subdued outcomes over recent months, and credit expansion to both households and businesses has weakened significantly.
The rise in Australia's terms of trade that is currently occurring will work in the opposite direction. It will add substantially to national income and ability to spend, even with the slowing in global growth to below-trend pace that the Bank is assuming.
Given the opposing forces at work, considerable uncertainty remains about the outlook for demand and inflation. On balance, the Board's current assessment is that demand growth will be moderate this year. In the short term, inflation is likely to remain relatively high, but it should decline over time provided demand evolves as expected. Should demand not slow as expected, or should expectations of high ongoing inflation begin to affect wage and price setting, that outlook would need to be reviewed.
Weighing up the available domestic and international information, the Board's judgement is that the current stance of monetary policy remains appropriate for the time being. The Board will continue to evaluate prospects for economic activity and inflation in the light of new information.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 3 Jun 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
2008-05-06,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-07
Date
6 May 2008
At its meeting today, the Board decided to leave the cash rate unchanged at 7.25 per cent.
Inflation in Australia has been high over the past year, with the CPI rising by a little over 4 per cent and underlying measures at a similar pace. Price rises were widespread, in an environment of limited capacity and earlier strong growth in demand.
In order to reduce inflation over time, growth in aggregate demand needs to be significantly slower than it was in 2007. Evidence is accumulating that this is occurring. Indicators of household spending have recorded subdued outcomes over recent months, and demand for credit by both households and businesses has weakened.
As a result of the Board's earlier decisions, additional rises in market interest rates and tougher credit standards for some borrowers, there has been a substantial tightening in financial conditions since the middle of last year. Conditions in international financial markets, though improved in recent weeks, also remain difficult. These factors are acting to restrain demand.
The rise in Australia's terms of trade currently occurring, which is larger than had been expected a couple of months ago, will work in the opposite direction. It will add substantially to national income and ability to spend, even with the slowing in global growth to below trend pace that the Bank has been assuming for some months now.
Given the opposing forces at work, considerable uncertainty remains about the outlook for demand and inflation. On balance, the Board's current assessment is that demand growth will remain moderate this year. In the short term, inflation is likely to remain relatively high, but it should decline over time provided demand evolves as expected. Should demand not slow as expected or should expectations of high ongoing inflation begin to affect wage and price setting, that outlook would need to be reviewed.
Weighing up the available domestic and international information, the Board's judgement is that the current stance of monetary policy remains appropriate for the time being. The Board will continue to evaluate prospects for economic activity and inflation in the light of new information.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 6 May 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
2008-04-01,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-04
Date
1 April 2008
At its meeting today, the Board decided to leave the cash rate unchanged at 7.25 per cent.
For some time now, the Board has been seeking to slow the growth of aggregate demand, in order to reduce inflation. To that end, the Board had increased the cash rate at each of its two previous meetings, as well as on two occasions last year.
Information becoming available from the national accounts over the past month confirmed that the Australian economy grew strongly through 2007, driven by rapid growth in domestic spending. Employment has also continued to grow strongly. However, other recent information provides tentative evidence that growth in domestic demand is moderating. Business and consumer sentiment have softened in the early part of 2008, and credit demand has slowed somewhat.
Developments abroad continue to suggest that the world economy is slowing and, in line with the Bank's previous forecasts, it appears likely that global growth will be below trend in 2008. Notwithstanding some recent declines in world commodity prices, however, a further large rise in Australia's terms of trade is in prospect this year.
Sentiment in global financial markets remains quite fragile and Australian financial intermediaries are experiencing increases in funding costs, which are being passed on to borrowers. Some tightening in credit standards for more risky borrowers is occurring.
As a result of the recent monetary policy decisions and rises in borrowing costs that are occurring independently of changes in the cash rate, the overall tightening in financial conditions since the middle of 2007 has been substantial. That is working to foster the moderation in demand growth that will take pressure off inflation. In the short term, inflation is likely to remain relatively high, and both the CPI and underlying measures will probably rise further in year-ended terms in the March quarter. However, inflation should decline over time, provided demand slows as expected.
Weighing up the available domestic and international information, the Board's judgment is that the current monetary policy setting is appropriate for the time being. The Board will continue to evaluate prospects for economic activity and inflation in the light of new information.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 1 Apr 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
2008-03-04,"Media Release
Statement by Glenn Stevens, Governor: Monetary Policy
Number
2008-03
Date
4 March 2008
At its meeting today, the Board decided to increase the cash rate by 25 basis points to 7.25 per cent, effective 5 March 2008.
This adjustment was made in order to contain and reduce inflation over the medium term. Inflation was high in 2007, with an annual CPI increase of 3 per cent in the December quarter and underlying measures around 3½ per cent. Domestic demand grew at rates appreciably higher than the growth of the economy's productive capacity over the year. Labour market conditions remained strong into early 2008 and reports of high capacity usage and shortages of suitable labour persist. Inflation is likely to remain relatively high in the short term, and will probably rise further in year‑ended terms, before moderating next year in response to slower growth in demand.
The Board took account of events abroad and developments in financial markets. The world economy is slowing and it appears likely that global growth will be below trend in 2008. Recent trends in world commodity markets, however, have further strengthened prospects for Australia's terms of trade.
Sentiment in global financial markets remains fragile. Australian financial intermediaries are experiencing increases in funding costs, which are being passed on to customers. Some tightening in credit standards for more risky borrowers is occurring.
There is tentative evidence that some moderation in household demand is beginning to occur, with business and consumer sentiment softer recently, and household credit demand slowing somewhat. The extent of that moderation is uncertain, however. As the Board noted last month, a significant slowing in demand from its pace of last year is likely to be necessary to reduce inflation over time.
Having weighed both the international and domestic information available, the Board concluded that a further tightening in monetary policy was needed to secure an inflation rate of 2‑3 per cent over time. As a result of this and earlier actions, and rises in borrowing costs which are occurring independently of changes in the cash rate, the overall tightening in financial conditions since the middle of 2007 is substantial. The Board will continue to evaluate prospects for economic activity and inflation in the light of new information.
Enquiries
Dr Malcolm Edey
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Manager, Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9221 5528
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 4 Mar 2008
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",7.25
