Word,Sentiment
ABANDON,negative
ABANDONED,negative
ABANDONING,negative
ABANDONMENT,negative
ABANDONMENTS,negative
ABANDONS,negative
ABDICATED,negative
ABDICATING,negative
ABDICATION,negative
ABERRANT,negative
ABERRATION,negative
ABERRATIONAL,negative
ABERRATIONS,negative
ABETTING,negative
ABLE,positive
ABNORMAL,negative
ABNORMALITIES,negative
ABNORMALITY,negative
ABNORMALLY,negative
ABOLISH,negative
ABOLISHED,negative
ABOLISHES,negative
ABOLISHING,negative
ABROGATE,negative
ABROGATED,negative
ABROGATES,negative
ABROGATING,negative
ABROGATION,negative
ABROGATIONS,negative
ABRUPT,negative
ABRUPTLY,negative
ABRUPTNESS,negative
ABSENCE,negative
ABSENCES,negative
ABSENTEEISM,negative
ABUNDANCE,positive
ABUNDANT,positive
ABUSE,negative
ABUSED,negative
ABUSES,negative
ABUSING,negative
ABUSIVE,negative
ABUSIVELY,negative
ABUSIVENESS,negative
ACCIDENT,negative
ACCIDENTAL,negative
ACCIDENTALLY,negative
ACCIDENTS,negative
ACCLAIMED,positive
ACCOMPLISH,positive
ACCOMPLISHED,positive
ACCOMPLISHES,positive
ACCOMPLISHING,positive
ACCOMPLISHMENT,positive
ACCOMPLISHMENTS,positive
ACCUSATION,negative
ACCUSATIONS,negative
ACCUSE,negative
ACCUSED,negative
ACCUSES,negative
ACCUSING,negative
ACHIEVE,positive
ACHIEVED,positive
ACHIEVEMENT,positive
ACHIEVEMENTS,positive
ACHIEVES,positive
ACHIEVING,positive
ACQUIESCE,negative
ACQUIESCED,negative
ACQUIESCES,negative
ACQUIESCING,negative
ACQUIT,negative
ACQUITS,negative
ACQUITTAL,negative
ACQUITTALS,negative
ACQUITTED,negative
ACQUITTING,negative
ADEQUATELY,positive
ADULTERATE,negative
ADULTERATED,negative
ADULTERATING,negative
ADULTERATION,negative
ADULTERATIONS,negative
ADVANCEMENT,positive
ADVANCEMENTS,positive
ADVANCES,positive
ADVANCING,positive
ADVANTAGE,positive
ADVANTAGED,positive
ADVANTAGEOUS,positive
ADVANTAGEOUSLY,positive
ADVANTAGES,positive
ADVERSARIAL,negative
ADVERSARIES,negative
ADVERSARY,negative
ADVERSE,negative
ADVERSELY,negative
ADVERSITIES,negative
ADVERSITY,negative
AFTERMATH,negative
AFTERMATHS,negative
AGAINST,negative
AGGRAVATE,negative
AGGRAVATED,negative
AGGRAVATES,negative
AGGRAVATING,negative
AGGRAVATION,negative
AGGRAVATIONS,negative
ALERTED,negative
ALERTING,negative
ALIENATE,negative
ALIENATED,negative
ALIENATES,negative
ALIENATING,negative
ALIENATION,negative
ALIENATIONS,negative
ALLEGATION,negative
ALLEGATIONS,negative
ALLEGE,negative
ALLEGED,negative
ALLEGEDLY,negative
ALLEGES,negative
ALLEGING,negative
ALLIANCE,positive
ALLIANCES,positive
ANNOY,negative
ANNOYANCE,negative
ANNOYANCES,negative
ANNOYED,negative
ANNOYING,negative
ANNOYS,negative
ANNUL,negative
ANNULLED,negative
ANNULLING,negative
ANNULMENT,negative
ANNULMENTS,negative
ANNULS,negative
ANOMALIES,negative
ANOMALOUS,negative
ANOMALOUSLY,negative
ANOMALY,negative
ANTICOMPETITIVE,negative
ANTITRUST,negative
ARGUE,negative
ARGUED,negative
ARGUING,negative
ARGUMENT,negative
ARGUMENTATIVE,negative
ARGUMENTS,negative
ARREARAGE,negative
ARREARAGES,negative
ARREARS,negative
ARREST,negative
ARRESTED,negative
ARRESTS,negative
ARTIFICIALLY,negative
ASSAULT,negative
ASSAULTED,negative
ASSAULTING,negative
ASSAULTS,negative
