rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2009-01-01,3.75,-1.0,-1.0,0.0,2.3230088456443028,3.65,0.6870763999999996,1.467021740000007
2009-02-01,3.25,0.0,-1.0,-1.0,2.055800294295219,3.55,1.3244229,1.6200094886906375
2009-03-01,3.25,-1.0,0.0,0.0,1.790935665558466,3.45,1.6539525999999993,1.7727030492372688
2009-04-01,3.0,0.0,-1.0,0.0,1.5283842769864122,3.35,1.2470527999999996,1.9251032684796179
2009-05-01,3.0,0.0,0.0,0.0,1.414068173112839,3.15,1.5453983999999998,1.783297554266872
2009-06-01,3.0,0.0,0.0,0.0,1.3005780291506401,2.95,1.6177656999999996,1.6421721577465025
2009-07-01,3.0,0.0,0.0,0.0,1.1879049722738597,2.75,1.4212767,1.5017221948636366
2009-08-01,3.0,0.0,0.0,1.0,1.4758819341922642,2.633333333,1.6995968000000001,1.9164645146255876
2009-09-01,3.0,1.0,0.0,1.0,1.7638588961106525,2.516666667,1.3725005000000001,2.332510414352141
2009-10-01,3.25,1.0,1.0,1.0,2.0518358580290568,2.4,1.3332978000000004,2.749865989790399
2009-11-01,3.5,1.0,1.0,0.0,2.3406553885841372,2.4,1.0956221,2.583908715278128
2009-12-01,3.75,0.0,1.0,0.0,2.629682990457444,2.4,0.9210572999999993,2.4189658847421716
2010-01-01,3.75,0.0,0.0,1.0,2.918918924091086,2.4,0.3585969000000002,2.2550283045293944
2010-02-01,3.75,1.0,0.0,1.0,2.9496402857217263,2.4,-0.0030855000000000743,2.231458750548777
2010-03-01,4.0,1.0,1.0,1.0,2.980251348856338,2.4,-0.2889287999999999,2.2080052191714605
2010-04-01,4.25,1.0,1.0,0.0,3.010752694919617,2.4,-0.015007800000000238,2.1846667569749068
2010-05-01,4.5,0.0,1.0,0.0,2.967465143394612,2.483333333,-0.5825999,2.3205797755087327
2010-06-01,4.5,0.0,0.0,0.0,2.9243937212146975,2.566666667,-0.7172099000000003,2.4562172786690892
2010-07-01,4.5,0.0,0.0,0.0,2.881536813075846,2.65,-0.38562729999999945,2.591580064418715
2010-08-01,4.5,0.0,0.0,0.0,2.8024121992138755,2.766666667,-0.6820242000000007,2.6346022935041646
2010-09-01,4.5,0.0,0.0,1.0,2.723735407715564,2.883333333,-0.6068824000000008,2.67740934707976
2010-10-01,4.5,1.0,0.0,0.0,2.6455026360979286,3.0,-0.3386646999999998,2.7200028561558334
2010-11-01,4.75,0.0,1.0,0.0,2.885292045749975,3.033333333,-0.4492934000000002,2.4688583647940856
2010-12-01,4.75,0.0,0.0,0.0,3.123903129084705,3.066666667,-0.6140835999999998,2.2184426705559033
2011-01-01,4.75,0.0,0.0,0.0,3.361344538575496,3.1,-0.26210350000000027,1.9687525470426868
2011-02-01,4.75,0.0,0.0,0.0,3.4591194993398267,3.1,-0.3254222999999996,2.180380404332862
2011-03-01,4.75,0.0,0.0,0.0,3.556485359465732,3.1,-0.49645589999999995,2.3910637126388763
2011-04-01,4.75,0.0,0.0,0.0,3.6534446703083896,3.1,-0.5396761999999997,2.6008088587301086
2011-05-01,4.75,0.0,0.0,0.0,3.5763888854851142,3.15,-0.21630959999999977,2.820218446097343
2011-06-01,4.75,0.0,0.0,0.0,3.499653499331601,3.2,-0.22744949999999964,3.0386028618765453
2011-07-01,4.75,0.0,0.0,0.0,3.4232365168749332,3.25,-0.19683739999999972,3.2559693133586087
2011-08-01,4.75,0.0,0.0,0.0,3.2781228399824327,3.133333333,0.23770950000000024,3.3250778249029453
2011-09-01,4.75,0.0,0.0,-1.0,3.133608806391113,3.016666667,0.16773750000000032,3.3937832240522168
2011-10-01,4.75,-1.0,0.0,-1.0,2.9896907294999413,2.9,-0.0965638000000002,3.462089066394632
2011-11-01,4.5,-1.0,-1.0,0.0,2.4965800321920595,2.9,0.1219304000000001,3.895337936682049
2011-12-01,4.25,0.0,-1.0,0.0,2.008168824199233,2.9,0.32048509999999997,4.329449231231895
2012-01-01,4.25,0.0,0.0,0.0,1.5243902428682212,2.9,0.04413439999999991,4.764425623253149
2012-02-01,4.25,0.0,0.0,0.0,1.4184397139909315,3.083333333,0.22294370000000008,4.568223316422369
2012-03-01,4.25,0.0,0.0,-1.0,1.3131313093740515,3.266666667,0.2559250000000004,4.373702336041125
2012-04-01,4.25,-1.0,0.0,-1.0,1.2084592202999347,3.45,0.034474600000000244,4.1808410866705845
2012-05-01,3.75,-1.0,-1.0,0.0,1.441501845505763,3.333333333,0.1856270999999996,3.920094555575583
2012-06-01,3.5,0.0,-1.0,0.0,1.6739203300239252,3.216666667,0.2463445000000002,3.661669027053794
