rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2003-01-01,2.818181818,-1.0,-1.0,0.0,3.0332427196389093,3.0,-0.2547603909999996,4.249593407127738
2003-02-01,2.75,0.0,-1.0,0.0,3.8575086597812827,3.0,-0.3063732359999989,5.3925136459798
2003-03-01,2.75,0.0,0.0,0.0,4.580894299699544,3.0,-0.38868421199999936,4.947546376084768
2003-04-01,2.75,0.0,0.0,0.0,4.06007310079911,3.0,-0.037170635999999035,4.5118028008351
2003-05-01,2.75,0.0,0.0,0.0,3.5402925007108337,2.9,-0.1382886299999999,5.512480442570421
2003-06-01,2.75,0.0,0.0,0.0,3.6439364422275218,2.9,-0.21527481000000037,5.329803250318436
2003-07-01,2.75,0.0,0.0,0.0,3.1277813996593955,3.1,-0.15159419000000085,5.197261118186389
2003-08-01,2.75,0.0,0.0,0.0,2.9223475607558353,3.0,-0.07108275999999947,4.5105746301905025
2003-09-01,2.75,0.0,0.0,0.0,2.309714538963471,3.2,-0.21292543999999936,4.3064398526871965
2003-10-01,2.75,0.0,0.0,-1.0,1.1943460032053714,3.0,-0.6288164900000002,4.1237367516916565
2003-11-01,2.75,-1.0,0.0,-1.0,0.9917547162623539,2.5,-0.6290483190000007,3.610906670515642
2003-12-01,2.45,-1.0,-1.0,-1.0,1.093152059826439,2.3,-0.2437349640000015,3.458827638407068
2004-01-01,1.869047619,-1.0,-1.0,0.0,0.7901755759261213,2.0,-0.12284779199999996,3.860235768614976
2004-02-01,1.75,0.0,-1.0,0.0,-0.00974645089963384,2.1,-0.35583378300000135,3.996151103117155
2004-03-01,1.75,0.0,0.0,0.0,-0.8001832449581389,2.2,-0.03366652000000059,5.4371502165423875
2004-04-01,1.75,0.0,0.0,0.0,-0.3036876686493268,2.4,0.3184983939999988,5.249043662239358
2004-05-01,1.75,0.0,0.0,0.0,0.5971826435673869,2.5,0.9109147729999982,5.444946542151278
2004-06-01,1.75,0.0,0.0,0.0,0.9995713660997558,2.6,0.831360590000001,5.2770043461361675
2004-07-01,1.75,0.0,0.0,1.0,1.302873374982948,2.5,0.8629417000000004,7.0483507266620755
2004-08-01,1.75,1.0,0.0,1.0,1.505074726085002,2.6,0.7846081799999993,7.579491407761592
2004-09-01,1.94047619,1.0,1.0,1.0,1.4037722451945485,2.8,0.6654878400000008,7.4923766143811115
2004-10-01,2.0,1.0,1.0,1.0,1.9118071744836196,3.0,0.8813072999999996,8.38325110607943
2004-11-01,2.15,1.0,1.0,1.0,2.525117962971553,2.9,0.6237253570000014,8.621631455167146
2004-12-01,2.25,1.0,1.0,1.0,2.4222843487954786,2.8,0.4239742040000003,8.574172976645142
2005-01-01,2.416666667,1.0,1.0,1.0,2.3196567991511396,2.7,0.21990085600000064,7.070465543897838
2005-02-01,2.65,1.0,1.0,1.0,2.217337142773107,2.6,0.3519996890000012,6.157084148834289
2005-03-01,2.75,1.0,1.0,1.0,2.4209573335004326,2.7,-0.10148461200000014,6.004526674725261
2005-04-01,2.94047619,1.0,1.0,1.0,2.931021871241559,2.8,-0.519049206,6.537552110830545
2005-05-01,3.142857143,1.0,1.0,1.0,2.7261840054365196,2.9,-1.0831605029999984,5.574393137945559
2005-06-01,3.25,1.0,1.0,1.0,2.726184015526857,3.0,-0.8158466099999995,6.293432142305125
2005-07-01,3.404761905,1.0,1.0,1.0,3.1362685853441556,2.9,-0.950655470000001,4.977976021346391
2005-08-01,3.647727273,1.0,1.0,1.0,3.0335432093531973,3.0,-1.1416019199999994,7.048198646569431
2005-09-01,3.928571429,1.0,1.0,1.0,3.959918736406798,3.2,-1.2488983569999998,5.796271168373849
2005-10-01,4.175,1.0,1.0,1.0,4.16721666891694,3.3,-1.3659285319999999,4.275939337259638
2005-11-01,4.416666667,1.0,1.0,0.0,3.647938430947412,3.1,-0.9935051340000012,5.758920646807127
2005-12-01,4.5,0.0,1.0,1.0,3.752002613861512,3.0,-0.9363486480000001,6.472733212049589
2006-01-01,4.5,1.0,0.0,1.0,4.168259399089143,3.0,-0.9072115540000008,5.840396657875968
2006-02-01,4.6625,1.0,1.0,1.0,4.168259398279693,3.1,-0.9906909230000007,7.312634630143881
2006-03-01,4.75,1.0,1.0,1.0,4.1682594014640975,3.0,-0.725122064999999,5.865301343409338
2006-04-01,4.881578947,1.0,1.0,0.0,3.858542081910305,3.0,-0.8050228519999987,5.842736458666597
2006-05-01,5.0,0.0,1.0,1.0,3.7549941872479944,3.0,-0.8598698450000004,7.6629786524997066
2006-06-01,5.0,1.0,0.0,1.0,3.961677436109538,3.0,-1.1681754960000017,6.813374296739965
2006-07-01,5.142857143,1.0,1.0,0.0,3.8583357975843486,3.0,-1.2427898279999994,6.193000070943393
