word,sentiment
abandonar,negative
abandonado,negative
abandonando,negative
abandono,negative
abandonos,negative
abdicado,negative
abdica,negative
abdicando,negative
abdicación,negative
abdicaciones,negative
aberrante,negative
aberración,negative
aberraciones,negative
instigar,negative
anormal,negative
anormalidades,negative
anormalidad,negative
anormalmente,negative
abolir,negative
abolido,negative
abolidos,negative
abrogado,negative
abrogación,negative
abrogaciones,negative
bruscamente,negative
ausencia,negative
ausencias,negative
ausentismo,negative
abuso,negative
abusado,negative
abusos,negative
abusando,negative
abusivo,negative
abusivamente,negative
accidente,negative
accidental,negative
accidentalmente,negative
accidentes,negative
acusación,negative
acusaciones,negative
acusar,negative
acusado,negative
acusando,negative
consintiendo,negative
absuelve,negative
adulterado,negative
adulterando,negative
adulteración,negative
adulteraciones,negative
adversario,negative
adversarios,negative
adverso,negative
adversamente,negative
adversidades,negative
adversidad,negative
secuelas,negative
contra,negative
agrava,negative
alertado,negative
alertando,negative
alienado,negative
alienando,negative
enajenaciones,negative
alegación,negative
alegaciones,negative
alegar,negative
alegada,negative
presuntamente,negative
alegando,negative
molestar,negative
molestia,negative
molestias,negative
molesta,negative
anular,negative
anulado,negative
anulando,negative
anomalías,negative
anómalos,negative
anómalamente,negative
anomalía,negative
anticompetitivo,negative
antimonopolio,negative
argumentar,negative
argumentado,negative
argumentando,negative
argumento,negative
argumentativo,negative
argumentos,negative
atrasos,negative
arresto,negative
arrestado,negative
arrestos,negative
artificialmente,negative
asalto,negative
asaltado,negative
asaltando,negative
asaltos,negative
afirmaciones,negative
desgaste,negative
contrariamente,negative
retroceso,negative
malo,negative
fianza,negative
rescate,negative
rechazo,negative
en quiebra,negative
prohibiciones,negative
prohibido,negative
barrera,negative
barreras,negative
cuello de botella,negative
cuellos de botella,negative
boicot,negative
boicoteado,negative
boicots,negative
incumplimiento,negative
romper,negative
roturas,negative
ruptura,negative
rupturas,negative
rotura,negative
soborno,negative
sobornos,negative
puente,negative
roto,negative
carga,negative
cargado,negative
cargas,negative
gravoso,negative
quemado,negative
calamidades,negative
calamitoso,negative
calamidad,negative
cancelar,negative
cancelado,negative
cancelación,negative
cancelaciones,negative
descuidado,negative
descuido,negative
catástrofe,negative
catástrofes,negative
catastrófico,negative
catastróficamente,negative
precaución,negative
advertencia,negative
precauciones,negative
cesa,negative
cese,negative
censura,negative
censurado,negative
desafío,negative
desafiado,negative
desafíos,negative
desafiantes,negative
cargos,negative
eludir,negative
elusión,negative
reclamación,negative
reclamaciones,negative
clawback,negative
cerrado,negative
cierre,negative
cierres,negative
coaccionar,negative
coaccionado,negative
coacciona,negative
coerción,negative
coercitivo,negative
colapso,negative
colapsos,negative
colisión,negative
colisiones,negative
colusión,negative
colusiones,negative
queja,negative
quejas,negative
complica,negative
complicación,negative
complicaciones,negative
compulsión,negative
oculto,negative
ocultamiento,negative
conceder,negative
concedido,negative
concede,negative
concediendo,negative
preocupación,negative
preocupado,negative
preocupa,negative
conciliando,negative
conciliación,negative
conciliaciones,negative
condenar,negative
condenación,negative
condenas,negative
condenado,negative
condenando,negative
condena,negative
perdona,negative
confesa,negative
confiesa,negative
confesando,negative
confesión,negative
confinar,negative
confinado,negative
confinamiento,negative
confina,negative
confiscar,negative
conflicto,negative
conflictos,negative
confrontar,negative
coconfrontación,negative
confrontacional,negative
